nome,latitude,longitude,sigla
Manaoba Airport,-8.325008,160.80051,MHM
Gatokae Aerodrome,-8.738358,158.202836,GTA
Ringi Cove Airport,-8.12639045715332,157.14300537109375,RIN
Ramata Airport,-8.168060302734375,157.64300537109375,RBV
Tulaghi Heliport,-9.108,160.149166667,TLG
Argyle Downs Airport,-16.508604,128.922485,AGY
Hongyuan Airport,32.53154,102.35224,AHJ
Ambatolhy Airport,-20.0158333333,45.535,AHY
Aiome Airport,-5.145699978,144.7307003,AIE
Aiambak Airport,-7.342777777779999,141.2675,AIH
Ailinglaplap Airok Airport,7.279422,168.8257,AIC
Chena Hot Springs Airport,65.0518035889,-146.04699707,CEX
Solomon State Field,64.5605,-164.4457,SOL
Herendeen Bay Airport,55.801399231,-160.899002075,HED
Taylor Airport,65.6792984009,-164.798995972,TWE
Tikchik Lodge Seaplane Base,59.9631996155,-158.477005005,KTH
Naukati Bay Seaplane Base,55.849602,-133.227994,NKI
Point Lonely Short Range Radar Site Airfield,70.911118,-153.237766,LNI
Candle 2 Airport,65.907699585,-161.925994873,CDL
Amook Bay Seaplane Base,57.4715003967,-153.815002441,AOS
Boswell Bay Airport,60.4230995178,-146.145996094,BSW
Zakuoma Airport,10.8902777778,19.8172222222,AKM
Alitak Seaplane Base,56.897294,-154.249692,ALZ
Mar de Cortés International Airport,31.351987,-113.305177,PPE
Alto Molocue Airport,-15.6102777778,37.6813888889,AME
Ama Airport,-4.10111111111,141.67,AMF
Amanab Airport,-3.586,141.214333333,AMU
Ambatomainty Airport,-17.686667,45.623889,AMY
Nauru International Airport,-0.547458,166.919006,INU
Angus Downs Airport,-25.0325,132.2748,ANZ
Catoca Airport,-9.430985,20.311478,CTV
Andulo Airport,-11.4723,16.710899,ANL
Cangamba Airport,-13.7106,19.861099,CNZ
Dirico Airport,-17.981924,20.768061,DRC
Capanda Airport,-9.76937007904,15.4553194046,KNP
N'dalatando Airport,-9.280378,14.982432,NDF
Annanberg Airport,-4.90416666667,144.635833333,AOB
Abou-Deïa Airport,11.4773,19.2874,AOD
Asapa Airport,-8.979167,148.103611,APP
April River Airport,-4.67666666667,142.540138889,APR
Troll Airfield,-71.95714,2.45257,QET
Girdwood-Alyeska Airport,60.968774,-149.119792,AQY
Bragado Airport,-35.145811,-60.480294,QRF
Caleta Olivia Airport,-46.37428,-67.59409,CVI
Charata Airport,-27.2164,-61.2103,CNT
General Villegas Airport,-34.995728,-62.999725,VGS
Los Menucos Airport,-40.817699,-68.074699,LMD
Valcheta Airport,-40.700001,-66.150002,VCF
Sunchales Aeroclub Airport,-30.9575,-61.5283,NCJ
Carmen de Patagones Airport,-40.7781,-62.9803,CPG
Termal Airport,-26.753611,-60.492222,PRQ
Aragip Airport,-9.88333333333,149.483333333,ARP
Asirim Airport,-6.009722222220001,150.368611111,ASZ
Namatanai Airport,-3.6695,152.438,ATN
Aitape Airport,-3.14361111111,142.346805556,ATP
Lady Elliot Island Airstrip,-24.1129,152.7156,LYT
Gruyere Airport,-28.034548,123.81506,GYZ
Karara Airport,-29.217223,116.687154,KQR
Alpha Airport,-23.652849,146.582668,ABH
Agnew Airport,-12.1456,142.149369,AGW
Alroy Downs Airport,-19.2908,136.078995,AYD
Baniyala Airport,-13.1981,136.227005,BYX
Coolibah Airport,-15.548299789428713,130.96200561523438,COB
Coorabie Airport,-31.894399642944336,132.29600524902344,CRJ
Carlton Hill Airport,-15.50189971923828,128.53399658203125,CRY
Cresswell Downs Airport,-17.947999954223633,135.91600036621094,CSD
Diamantina Lakes Airport,-23.761699676513672,141.14500427246094,DYM
Hayman Island Resort Seaplane Base,-20.059999465942383,148.88099670410156,HIS
Helenvale Airport,-15.685799598693848,145.21499633789062,HLV
Kimberley Downs Airport,-17.39780044555664,124.3550033569336,KBD
Kulgera Airport,-25.8428,133.292007,KGR
Orchid Beach Airport,-24.959400177002,153.31500244141,OKB
Peppimenarti Airport,-14.1442,130.091003,PEP
Rockhampton Downs Airport,-18.95330047607422,135.2010040283203,RDA
Sturt Creek Airport,-19.166400909423828,128.1739959716797,SSK
Shaw River Airport,-21.510299682617188,119.36199951171876,SWB
Tom Price Airport,-22.746000289900003,117.869003296,TPR
Torwood Airport,-17.363300323486328,143.75,TWP
Springvale Airport,-17.7869,127.669998,ZVG
Aua Island Airport,-1.46055555556,143.064722222,AUI
Ambunti Airport,-4.21566666667,142.823166667,AUJ
Agaun Airport,-9.930833,149.385667,AUP
Aumo Airport,-5.731111111110001,148.445277778,AUV
Alowe Airport,-0.545,9.444,AWE
Alxa Left Banner Bayanhot Airport,38.74831,105.58858,AXF
Pantar Kabir Airport,-8.244832,124.219108,AXO
Kompiam Airport,-5.38166666667,143.924722222,KPM
Buka Airport,-5.422319889068604,154.67300415039062,BUA
Biaru Airport,-7.6693,146.7594,BRP
Chimbu Airport,-6.024290084838867,144.9709930419922,CMU
Munduku Airport,-4.6204,143.4516,MDM
Kondobol Airport,-8.5336,142.5049,KPF
Dinangat Airport,-6.1546,146.6772,DNU
Doini Airport,-10.7009,150.7218,DOI
Daru Airport,-9.08676,143.207993,DAU
Embessa Airport,-9.447,148.7628,EMS
Edwaki Airport,-3.883986,141.792234,XYR
Eliptamin Airport,-5.0412,141.6779,EPT
Engati Airstrip,-6.9179,146.1053,EGA
Emo River Airstrip,-9.1234,148.0415,EMO
Erume Airport,-8.2538,146.9747,ERU
Meselia Airport,-6.1364,149.1183,MFZ
Feramin Airport,-5.208,141.6988,FRQ
Frieda River Airport,-4.610468,141.960138,FAQ
Fuma Airport,-6.3933,142.4408,FUM
Goroka Airport,-6.081689834590001,145.391998291,GKA
Guari Airport,-8.1286,146.8722,GUG
Garasa Airport,-7.980713,147.213461,GRL
Gurney Airport,-10.3114995956,150.333999634,GUR
Gusap Airport,-6.053196,145.959047,GAP
Girua Airport,-8.80453968048,148.309005737,PNP
Gasuke Airport,-6.1028,141.7393,GBC
Habi Airport,-6.32,142.4893,HBD
Heiweni Airport,-7.4223,146.4276,HNI
Honinabi Airport,-6.2457,142.1771,HNN
Hoskins Airport,-5.463846,150.407327,HKN
Haivaro Airport,-6.9406,143.059,HIT
Imane Airport,-6.7524,146.1072,IMN
Kungim Airport,-5.671,141.03,KGM
Imonda Airport,-3.328,141.1573,IMD
Aropa Airport,-6.305417,155.728139,KIE
Ialibu Airport,-6.2782,143.9944,IAL
Witu Airport,-4.689522,149.440112,WIU
Yongai Airport,-8.5289,147.4603,KGH
Losuia Airport,-8.505820274353027,151.08099365234375,LSA
Kopiago Airport,-5.3883,142.4977,KPA
Kiunga Airport,-6.1257100105285645,141.28199768066406,UNG
Kanainj Airport,-5.2903,144.7072,KNE
Kikori Airport,-7.42438,144.250076,KRI
Kerema Airport,-7.96361017227,145.770996094,KMA
Kar Kar Airport,-4.557,145.9404,KRX
Kuri Airport,-7.135083,143.276111,KUQ
Kavieng Airport,-2.57940006256,150.807998657,KVG
Londolovit Airport,-3.04361009598,152.628997803,LNV
Lab Lab Airport,-5.7204,148.0566,LAB
Lowai Airport,-6.3344,146.6458,LWI
Leron Plains Airport,-6.3917,146.3434,LPN
Lese Airport,-8.2799,146.2765,LNG
Long Island Airport,-5.3604,147.0177,LSJ
Yas Island Seaplane Base,24.467,54.6103,AYM
Manari Airport,-9.1908,147.6219,MRM
Morobe Airport,-7.74,147.59,OBM
Madang Airport,-5.20707988739,145.789001465,MAG
Mount Hagen Kagamuga Airport,-5.828212,144.299412,HGU
Mougulu Airport,-6.280859,142.420775,GUV
Mendi Airport,-6.14774,143.656998,MDU
Momote Airport,-2.06189,147.423996,MAS
Moro Airport,-6.36332988739,143.238006592,MXH
Misima Island Airport,-10.6892004013,152.837997437,MIS
Marawaka Airport,-6.9736,145.8849,MWG
Nankina Airport,-5.837,146.4533,NKN
Negarbo(Negabo) Airport,-6.567778,144.703058,GBF
Manguna Airport,-5.577778,151.792333,MFO
Kasonombe Airport,-6.3819,146.9859,KSB
Nomane Airport,-6.32183,145.070667,NMN
Nambaiyufa Airport,-6.2412,145.2424,NBA
Nadzab Airport,-6.569803,146.725977,LAE
Konge Airport,-6.2239,147.2152,KGB
Oksapmin Airport,-5.2261,142.2259,OKP
Komako Airport,-7.3984,145.8827,HOC
Komaio Airport,-7.2714,143.5952,KCJ
Koroba Airport,-5.6952,142.7441,KDE
Open Bay Airport,-4.794727,151.696195,OPB
Pangoa Airport,-7.0226,141.5605,PGB
Pangia Airport,-6.386,144.1084,PGN
Mapoda Airport,-7.979,143.1694,MPF
Pumani Airport,-9.7469,149.4766,PMN
Port Moresby Jacksons International Airport,-9.44338035583496,147.22000122070312,POM
Sopu Airport,-8.3038,147.1659,SPH
Sialum Airport,-6.0908,147.5955,SXA
Rumginae Airport,-5.89722222222,141.271666667,RMN
Karimui Airport,-6.4921,144.823,KMR
Maramuni Airport,-5.13,143.4829,MWI
May River Airstrip,-4.3615,141.785,MRH
Suabi Airport,-6.10444444444,142.278333333,SBE
Simberi Airport,-2.66222222222,151.997777778,NIS
Sila Airport,-9.07355555556,148.38925,SIL
Sabah Airport,-5.5765,155.0489,SBV
Simbai Airport,-5.278611111110001,144.544722222,SIM
Selbang Airport,-5.315,141.752,SBC
Sepik Plains Airport,-3.8821,143.6734,SPV
Sauren Airport,-5.9701,148.8543,SXW
Masa Airport,-6.345,147.591,MBV
Tari Airport,-5.845,142.947998,TIZ
Tabubil Airport,-5.27861,141.225998,TBG
Tapini Airport,-8.35666666667,146.989166667,TPI
Tokua Airport,-4.34046,152.380005,RAB
Tekin Airport,-5.243667,142.165194,TKW
Tep Tep Airport,-5.9553,146.5595,TEP
Tsewi Airport,-7.0695,146.1272,TSW
Tarakbits Airport,-5.614,141.0421,TRJ
Tawa Airport,-7.4463,146.1067,TWY
Tekadu Airport,-7.6808,146.5503,TKB
Aiyura Airport,-6.33805555556,145.904166667,AYU
Umba Airport,-7.0214,145.966,UMC
Uroubi Airport,-9.5162,148.5591,URU
Upiara Airport,-8.5411,142.6503,UPR
Uvol Airport,-6.0178,150.9557,UVO
Talasea Airport,-5.2726,150.0089,TLW
Torembi Airport,-4.0165,143.1329,TCJ
Vanimo Airport,-2.6926,141.3028,VAI
Tonu Airport,-6.6552,155.4326,TON
Wabo Airport,-6.98944444444,145.075111111,WAO
Wapenamanda Airport,-5.635293,143.892231,WBM
Wawoi Falls Airport,-6.9523,142.6557,WAJ
Wewak International Airport,-3.58383011818,143.669006348,WWK
Wonenara Airport,-6.796861111110001,145.891944444,WOA
Wakunai Airport,-5.8603,155.2223,WKN
Wasu Airport,-5.96170944919,147.19822526,WSU
Woitape Airport,-8.54583333333,147.2525,WTP
Wau Airport,-7.345556,146.718611,WUG
Yeva Airport,-7.548,146.188,YVD
Sim Airport,-7.75,146.9273,SMJ
Weam Airport,-8.6184,141.1381,WEP
Arugam Bay SPB,6.86,81.82388888890002,AYY
Yalumet Airport,-6.09,147.0117,KYX
Yasuru Airport,-6.6015,146.1813,KSX
Wasum Airport,-6.0491,149.337,WUM
Zabrat Airport,40.4955422161,49.9768066406,ZXT
Fuzuli International Airport,39.594578,47.196128,FZL
Lava Falls Heliport,36.1916007996,-113.092002869,HAE
Amazon Bay Airport,-10.2991666667,149.338333333,AZB
Zhenjiang Dalu Airport,32.23649,119.718683,AZJ
Bali Airport,-4.88333333333,149.133333333,BAJ
Bambu Airport,-5.863611111110001,146.4925,BCP
Benguera Island Airport,-21.8533,35.438301,BCW
Milyakburra Airport,-13.7808333333,136.201666667,BCZ
Willmar Municipal Airport John L Rice Field (2006),45.117552,-95.132259,ILL
Baindoung Airport,-6.34722222222,146.942222222,BDZ
Malevo Airfield,41.871799,25.604799,HKV
Bezmer Air Base,42.454899,26.3522,JAM
Aasiaat Airport,68.721802,-52.784698,JEG
Aappilattoq Heliport,72.88703,-55.596287,AOQ
Tasiilaq Heliport,65.612296,-37.618335,AGM
Aappilattoq Heliport,60.148357,-44.286916,QUV
Arsuk Heliport,61.176828,-48.419698,JRK
Ammassivik Heliport,60.597376,-45.382445,QUW
Attu Heliport,67.940663,-53.62187,QGQ
Narsarsuaq Airport,61.1605,-45.425999,UAK
Qasigiannguit Heliport,68.822816,-51.173447,JCH
Neerlerit Inaat Airport,70.743103,-22.650499,CNP
Eqalugaarsuit Heliport,60.61972,-45.914062,QFG
Kangilinnguit Heliport,61.22896,-48.09698,JGR
Nuuk Airport,64.193022,-51.676512,GOH
Qeqertarsuaq Heliport,69.251182,-53.514876,JGO
Ikerasak Heliport,70.498145,-51.303084,IKE
Iginniarfik Heliport,68.147226,-53.173528,QFI
Ikerassaarsuk Heliport,68.140881,-53.441459,QRY
Ilimanaq Heliport,69.080915,-51.114315,XIQ
Innarsuit Heliport,73.199895,-56.010817,IUI
Isortoq Heliport,65.547792,-38.976552,IOQ
Ikamiut Heliport,68.634253,-51.832262,QJI
Qaqortoq Heliport,60.715684,-46.029919,JJU
Ilulissat Airport,69.243202,-51.057098,JAV
Kangaatsiaq Heliport,68.312657,-53.460208,QPW
Kulusuk Airport,65.573601,-37.1236,KUS
Kuummiut Heliport,65.863935,-36.997919,KUZ
Kullorsuaq Heliport,74.57805,-57.226828,KHQ
Kangersuatsiaq Heliport,72.381092,-55.536586,KGQ
Kitsissuarsuit Heliport,68.857926,-53.123295,QJE
Illorsuit Heliport,71.241944,-53.562877,IOT
Maniitsoq Airport,65.412498,-52.9394,JSU
Nanortalik Heliport,60.141884,-45.232977,JNN
Nuugaatsiaq Heliport,71.538769,-53.205038,JUU
Narsaq Heliport,60.917283,-46.059923,JNS
Niaqornat Heliport,70.789385,-53.662945,NIQ
Nuussuaq Heliport,74.109853,-57.065037,NSQ
Paamiut Airport,62.014736,-49.670937,JFR
Qeqertaq Heliport,69.995861,-51.300917,PQT
Qaanaaq Airport,77.488602,-69.388702,NAQ
Qassimiut Heliport,60.780959,-47.156249,QJH
Ittoqqortoormiit Heliport,70.488229,-21.97168,OBY
Kangerlussuaq Airport,67.010446,-50.715294,SFJ
Sermiligaaq Heliport,65.90592,-36.378254,SGG
Siorapaluk Heliport,77.786517,-70.638657,SRK
Saarloq Heliport,60.537778,-46.024722,QOQ
Sisimiut Airport,66.951302,-53.729301,JHS
Saattut Heliport,70.811172,-51.63129,SAE
Savissivik Heliport,76.018613,-65.117683,SVR
Tasiusaq Heliport,73.373055,-56.06028,TQA
Pituffik Space Base,76.531197,-68.703201,THU
Tiniteqilaaq Heliport,65.892027,-37.783409,TQI
Tasiusaq Heliport,60.194305,-44.813447,XEQ
Upernavik Airport,72.790199,-56.1306,JUV
Uummannaq Heliport,70.680428,-52.11163,UMD
Qaarsut Airport,70.7342,-52.696201,JQA
Ukkusissat Heliport,71.049438,-51.890016,JUK
Bahía de los Ángeles Airport,28.9786,-113.560997,BHL
Brighton Downs Airport,-23.363333,141.562778,BHT
Akureyri Airport,65.656573,-18.072018,AEY
Bildudalur Airport,65.641296,-23.5462,BIU
Borgarfjörður eystri Airport,65.516769,-13.81578,BGJ
Bakkafjörður Airport,66.02189636230469,-14.824399948120115,BJD
Hjaltabakki Airport,65.644997,-20.2875,BLO
Búðardalur Airport,65.07530212402344,-21.80030059814453,BQD
Breiðdalsvík Airport,64.790037,-14.043927,BXV
Djúpivogur Airport,64.642372,-14.277297,DJU
Egilsstaðir Airport,65.2833023071289,-14.401399612426758,EGS
Fáskrúðsfjörður Airport,64.931456,-14.047957,FAS
Fagurhólsmýri Airport,63.874699,-16.6411,FAG
Grundarfjörður Airport,64.991402,-23.224701,GUU
Gjögur Airport,65.9953,-21.3269,GJR
Grímsey Airport,66.5458,-18.0173,GRY
Hólmavík Airport,65.704697,-21.6964,HVK
Hornafjörður Airport,64.295601,-15.2272,HFN
Holt Airport,66.0141804294,-23.4416913986,FLI
Húsavík Airport,65.952301,-17.426001,HZK
Krókstaðarmelar Airport,65.26640319824219,-20.846900939941406,HVM
Ingjaldssanður Airport,66.05000305175781,-23.69610023498535,HLO
Ísafjörður Airport,66.058098,-23.1353,IFJ
Keflavik International Airport,63.985001,-22.6056,KEF
Kópasker Airport,66.310799,-16.4667,OPA
Sauðárkrókur Airport,65.73169708249999,-19.5727996826,SAK
Norðfjörður Airport,65.131897,-13.7464,NOR
Ólafsfjörður Airport,66.083298,-18.6667,OFJ
Patreksfjörður Airport,65.555801,-23.965,PFJ
Reykhólar Airport,65.45262908935547,-22.20611572265625,RHA
Rif Airport,64.9114,-23.823099,OLI
Raufarhöfn Airport,66.406403,-15.9183,RFN
Reykjavik Airport,64.1299972534,-21.9405994415,RKV
